Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.40    361.10     1.93 531409259     0.00     0.00  std::shared_ptr<material>::operator=(std::shared_ptr<material> const&)
  0.40    363.00     1.90                             surrounding_box(aabb, aabb)
  0.39    364.87     1.87 704705947     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.38    366.72     1.85 102618288     0.00     0.00  onb::build_from_w(vec3 const&)
  0.38    368.54     1.82 712616422     0.00     0.00  std::shared_ptr<material>::~shared_ptr()
  0.38    370.35     1.81 712616390     0.00     0.00  std::shared_ptr<material>::shared_ptr()
  0.38    372.15     1.81 205236578     0.00     0.00  cross(vec3 const&, vec3 const&)
  0.37    373.93     1.78 451540188     0.00     0.00  onb::w() const
  0.37    375.70     1.77 531409259     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2> const&)
  0.35    377.39     1.70 712616390     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.34    379.02     1.63        1     1.63     1.63  flip_face::flip_face(std::shared_ptr<hittable>)
  0.34    380.64     1.62 557899749     0.00     0.00  std::shared_ptr<pdf>::~shared_ptr()
  0.31    382.15     1.51 82100916     0.00     0.00  xz_rect::pdf_value(vec3 const&, vec3 const&) const
  0.31    383.63     1.48                             sphere::bounding_box(double, double, aabb&) const
  0.31    385.11     1.48 82100916     0.00     0.00  lambertian::scatter(ray const&, hit_record const&, scatter_record&) const
  0.29    386.52     1.41 712616422     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.29    387.93     1.41 146806198     0.00     0.00  operator*(vec3 const&, vec3 const&)
  0.27    389.22     1.29 182804179     0.00     0.00  translate::hit(ray const&, double, double, hit_record&) const
  0.26    390.48     1.26 82100916     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<cosine_pdf, std::allocator<cosine_pdf>, vec3 const&>(cosine_pdf*&, std::_Sp_alloc_shared_tag<std::allocator<cosine_pdf> >, vec3 const&)
  0.25    391.69     1.22 434143692     0.00     0.00  unit_vector(vec3)
  0.25    392.90     1.21 347008086     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.25    394.11     1.21 82100916     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<hittable_pdf, std::allocator<hittable_pdf>, std::shared_ptr<hittable>&, vec3&>(hittable_pdf*&, std::_Sp_alloc_shared_tag<std::allocator<hittable_pdf> >, std::shared_ptr<hittable>&, vec3&)
